zip_code,num_households,med_income_12m
02338,2930,98264
02339,4744,149048
02341,3850,113500
02343,4695,89580
02346,9727,81809
02347,4162,112240
02350,70,-
02351,6083,113155
02356,4511,114682
02357,0,-
02359,6861,130015
02360,24985,97956
02364,5321,103945
02366,0,-
02367,989,118098
02368,12167,87985
02370,6654,90315
02375,4482,110549
02379,2726,111964
02382,5684,94919
02420,5374,215303
02421,6927,191140
02445,9225,126832
02446,14278,109845
02451,7586,109021
02452,5215,101857
02453,12115,100167
02457,18,-
02458,4871,131992
02459,6268,200091
02460,3776,140000
02461,2532,181220
02462,532,91944
02464,1370,121071
02465,4436,167330
02466,2990,137656
02467,6746,157054
02468,1873,"250,000+"
02472,16067,101354
02474,11649,124375
02476,7659,127649
02478,10372,151290
02481,4743,249375
02482,3907,202396
02492,7160,190651
02493,3731,220815
02494,4100,153285
02532,5688,77221
02534,379,-
02535,742,104135
02536,8373,74944
02537,2488,124167
02538,1748,88152
02539,1401,73849
02540,4171,81343
02542,244,43929
02543,485,79306
02553,30,-
02554,3973,116470
02556,1018,106167
02557,685,67703
02558,993,56588
02559,1593,78883
02561,280,81983
02562,1236,110233
02563,3983,105302
02564,33,119519
02568,3044,70197
02571,4824,72500
02575,907,114432
02576,1767,60764
02584,25,-
02601,6794,57844
02630,744,122976
02631,4519,88207
02632,4744,102733
02633,2269,95604
02635,1376,68837
02637,129,-
02638,1447,100063
02639,1712,46635
02641,91,175571
02642,2525,76859
02643,0,-
02644,1447,115078
02645,4474,82889
02646,896,67283
02647,67,-
02648,3064,111754
02649,6603,83563
02650,340,80125
02652,618,83468
02653,2989,79250
02655,1527,97070
02657,1968,72904
02659,555,61302
02660,2896,69931
02663,178,-
02664,3989,72179
02666,295,-
02667,1558,90625
02668,1004,100869
02670,829,61875
02671,463,76719
02672,88,71250
02673,3839,65880
02675,3087,96399
02702,1673,105515
02703,17898,81798
02713,18,71667
02715,1383,97148
02717,1696,112308
02718,2444,89796
02719,6872,79432
02720,13787,56843
02721,11010,47963
02723,7511,43142
02724,8389,43511
02725,934,118176
02726,6314,95307
02738,1993,106354
02739,2926,101487
02740,19301,47206
02743,4060,78471
02744,5157,48009
02745,10154,63623
02746,6697,37565
02747,7237,90048
02748,4779,101782
02760,11550,97884
02762,4144,96932
02763,723,98224
02764,1560,101226
02766,6489,109375
02767,5550,100425
02769,4377,115156
02770,2032,110959
02771,5969,100041
02777,6752,101703
02779,2294,110518
02780,20625,63524
02790,6667,85470
02791,244,90543
02802,238,105694
02804,898,111014
02806,6176,130455
02807,459,72279
02808,901,67480
02809,8065,80727
02812,438,111279
02813,3459,86023
02814,2902,93060
02815,72,-
02816,13371,86981
02817,2316,126402
02818,8307,109796
02822,2018,84018
02823,13,-
02824,85,-
02825,1843,97651
02826,282,68471
02827,844,90192
02828,3183,82414
02829,35,-
02830,2409,107033
02831,1473,121250
02832,1816,96951
02833,352,33547
02835,2361,120129
02836,53,-
02837,1592,96111
02838,1310,59883
02839,589,78477
02840,10171,77042
02841,6,-
02842,7270,88211
02852,9563,96100
02857,3155,104617
02858,214,111250
02859,2436,103218
02860,18949,49357
02861,10737,73285
02863,7074,40235
02864,13620,104975
02865,6756,103934
02871,7196,104677
02872,82,-
02873,58,-
02874,2395,124471
02875,138,87800
02876,520,30513
02878,6651,85522
02879,9148,102397
02881,793,72466
02882,5492,83502
02885,5032,75755
02886,12976,75404
02888,8365,78269
02889,11354,79274
02891,9936,82331
02892,2091,118542
02893,14030,62649
02894,255,71813
02895,16921,48882
02896,4455,95595
02898,575,86122
02903,5047,50966
02904,12951,56139
02905,9862,45594
02906,12185,93341
02907,10591,39522
02908,14380,63775
02909,14857,52232
02910,8624,77951
02911,6637,69306
02912,13,-
02914,9311,51513
02915,7168,76385
02916,3791,85025
02917,4672,92440
02918,36,-
02919,11405,76592
02920,14326,68794
02921,4659,112767
03031,4476,142083
03032,1989,127330
03033,1728,150893
03034,1603,106868
03036,1719,131635
03037,1646,111833
03038,13056,84819
03042,2681,88671
03043,571,99185
03044,1638,116944
03045,5172,100751
03046,1024,136548
03047,677,89179
03048,1418,80761
03049,3223,144514
03051,9542,112285
03052,2967,122139
03053,9269,116996
03054,9971,114562
03055,6419,82990
03057,893,134356
03060,12194,58434
03062,11733,95279
03063,6823,93876
03064,6369,69637
03070,2045,122292
03071,1844,81958
03076,4884,111333
03077,4093,82521
03079,12138,91276
03082,620,94000
03084,490,88056
03086,1739,83477
03087,5283,167641
03101,1895,58802
03102,14100,60103
03103,15018,61743
03104,14725,73574
03106,5185,88638
03109,3833,87540
03110,8076,143119
03215,99,83281
03216,818,81333
03217,992,48509
03218,569,81335
03220,3039,67697
03221,878,88000
03222,2286,70000
03223,1174,73919
03224,900,102750
03225,1299,75202
03226,384,91071
03227,692,127813
03229,2227,100665
03230,616,60268
03231,77,90804
03233,100,116034
03234,1746,96607
03235,3813,61678
03237,773,84199
03238,43,39250
03240,461,70625
03241,377,81607
03242,2098,79500
03243,355,77019
03244,2967,84861
03245,815,78304
03246,6826,63812
03249,3086,102358
03251,563,58917
